match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
PSV Eindhoven vs PEC Zwolle,PSV Eindhoven,PEC Zwolle,2026-04-23 19:00:00+00:00,Away Win,0.738822877407074,12.5,0.08,0.658822877407074,8.235285967588425,17.902795581713967,0.738822877407074
Venezia vs Empoli,Venezia,Empoli,2026-04-25 15:15:00+00:00,Away Win,0.8658049702644348,9.0,0.1111111111111111,0.7546938591533237,6.792244732379913,21.22576478868723,0.8658049702644348
Benfica vs Moreirense,Benfica,Moreirense,2026-04-25 17:00:00+00:00,Draw,0.6626244187355042,9.55,0.10471204188481674,0.5579123768506874,5.328063198924065,15.579132160596679,0.6626244187355042
Benfica vs Moreirense,Benfica,Moreirense,2026-04-25 17:00:00+00:00,Away Win,0.24423101544380188,21.0,0.047619047619047616,0.19661196782475426,4.1288513243198395,5.161064155399799,0.6626244187355042
Tondela vs Nacional,Tondela,Nacional,2026-04-25 14:30:00+00:00,Home Win,0.885189414024353,2.74,0.36496350364963503,0.520225910374718,1.4254189944267275,20.480157965901256,0.885189414024353
Perth Glory vs Brisbane Roar,Perth Glory,Brisbane Roar,2026-04-25 11:45:00+00:00,Home Win,0.8241374492645264,2.7,0.37037037037037035,0.453767078894156,1.2251711130142213,18.017222250209137,0.8241374492645264
Stoke City vs Portsmouth,Stoke City,Portsmouth,2026-04-25 14:00:00+00:00,Home Win,0.6558343172073364,2.82,0.3546099290780142,0.30122438812932223,0.8494527745246887,11.668307342372099,0.6558343172073364
Sudtirol vs Mantova,Sudtirol,Mantova,2026-04-25 13:00:00+00:00,Home Win,0.6662421226501465,2.27,0.44052863436123346,0.22571348828891302,0.5123696184158325,10.086016110547884,0.6662421226501465
Sheffield Utd vs Blackburn,Sheffield Utd,Blackburn,2026-04-22 18:45:00+00:00,Home Win,0.6830841898918152,1.91,0.5235602094240838,0.15952398046773142,0.3046908026933669,8.370626447619971,0.6830841898918152
Norwich vs Swansea,Norwich,Swansea,2026-04-25 14:00:00+00:00,Home Win,0.7193726301193237,1.76,0.5681818181818182,0.1511908119375055,0.2660958290100097,8.753152270066108,0.7193726301193237
